Q2,Q4,Q5,Q6,Q7_1,Q7_2,Q7_3,Q8_1,Q8_2,Q8_3,Q8_4,Q9_1,Q9_2,Q9_3,Q9_4,Q10,Q11,Q12,Q13,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q17,Q19,Q21,Q22,Q23,sex,age,occupation/school,student/faculty
A little,From the news,To aid in completion of a project,To obtain significant help with a project,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat,Somewhat,Not at all,0,I have not used ChatGPT,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat likely,Neither likely nor unlikely,It seems like a smart technology ,Female,18-21,Communications & Arts,Student
A great deal,From a friend,To obtain significant help with a project,To get started with a project,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Very much so,Very much so,A little,1 to 5,To get started with a project,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat likely,Somewhat likely,I think it is a helpful tool to learning but also can be something people take advantage of,Male,18-21,Management,Student
A good amount,From the news,Curiosity,To get started with a project,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Very much so,Somewhat,Not at all,0,I have not used ChatGPT,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat likely,Neither likely nor unlikely,"I believe that there are certainly going to be people who use ChatGPT for plagiarism reasons, but I also think that it could be a helpful studying tool.",Female,18-21,Communications & Arts,Student
A little,From a colleague,To aid in completion of a project,To get started with a project,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat,Somewhat,Not at all,0,I have not used ChatGPT,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither likely nor unlikely,Neither likely nor unlikely,I don’t know much about it and don’t want to either it’s not worth using,Male,18-21,Management,Student
A good amount,From a friend,To get started with a project,Curiosity,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat,Not at all,A little,1 to 5,Curiosity,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither likely nor unlikely,Somewhat unlikely,I think ChatGPT could be beneficial in finding information but not valuable to schools. Since there is no way to detect if it was plagarism or not it is not fair to students doing their own work. The information is likely not accurate as well. ,Female,18-21,Management,Student
A good amount,From a family member,To get started with a project,To obtain significant help with a project,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat,Very much so,A good amount,1 to 5,To obtain significant help with a project,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Very likely,Neither likely nor unlikely,i think it is good for students because it helps them when they have to much work to do,Male,18-21,Communications & Arts,Student
A little,From a colleague,To get started with a project,Curiosity,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,Somewhat agree,Somewhat,Somewhat,Not at all,0,I have not used ChatGPT,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat likely,Somewhat likely,It seems like a good idea in some ways because it can give important ideas to people but it also would be a way for people to cheat.,Female,18-21,Communications & Arts,Student
A little,From the news,Curiosity,Curiosity,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat,Somewhat,A little,1 to 5,Curiosity,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither likely nor unlikely,Neither likely nor unlikely,I don’t think it is a good thing. ,Male,18-21,Communications & Arts,Student
A great deal,From a friend,To obtain significant help with a project,To aid in completion of a project,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Very much so,Very much so,A little,6 to 10,To aid in completion of a project,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither likely nor unlikely,Neither likely nor unlikely,Very useful when unsure about a topic or idea,Male,18-21,CS & Math,Student
A good amount,From a family member,To get started with a project,Curiosity,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Very much so,Very much so,A good amount,1 to 5,To get started with a project,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Very unlikely,Very unlikely,,Female,22-25,CS & Math,Student
A good amount,From the news,To obtain significant help with a project,,Neither agree nor disagree,,,Neither agree nor disagree,,,,Neither agree nor disagree,,,,Somewhat,Somewhat,A good amount,6 to 10,To obtain significant help with a project,Neither agree nor disagree,,,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Neither likely nor unlikely,Neither likely nor unlikely,"Its good if we use for good purpose, other side disadvantage as well because people can't think enough because of these and search in chat gpt everything ",Female,22-25,CS & Math,Student
A good amount,From the news,To obtain significant help with a project,To obtain significant help with a project,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat,Somewhat,A little,1 to 5,To obtain significant help with a project,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,,,,,,Female,22-25,,
A great deal,Other,To obtain significant help with a project,Curiosity,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat,Very much so,A good amount,1 to 5,To obtain significant help with a project,,,,,,,,,,Somewhat agree,Strongly agree,Very likely,Very likely,,Female,22-25,CS & Math,Student
A great deal,From the news,To obtain significant help with a project,To get started with a project,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Very much so,Very much so,A little,1 to 5,Curiosity,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat likely,Somewhat unlikely,,Female,18-21,CS & Math,Student
A good amount,From the news,To obtain significant help with a project,Curiosity,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Somewhat,Somewhat,A little,1 to 5,To aid in completion of a project,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat likely,Somewhat likely,I think ChatGPT can be beneficial when you’re asking questions to get clarification on homework and project questions. I only use ChatGPT though when I cannot get in contact with my professor and the deadline is coming up soon. Sometimes the information they give you can be accurate but other times not 100% accurate. I prefer asking my professors and doing further research on the content rather than solely using ChatGPT,Female,18-21,CS & Math,Student
A great deal,From the news,To aid in completion of a project,Curiosity,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat,Not at all,A little,1 to 5,To get started with a project,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat unlikely,Very unlikely,i wouldn't blindly trust the accuracy. i would always do my own research and fact checking.,Prefer not to say,18-21,CS & Math,Student
A great deal,From the news,To aid in completion of a project,To aid in completion of a project,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat,Very much so,Quite a lot,11 or more times,To get started with a project,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat likely,Somewhat likely,ChatGTP is an interface that enables a wide breadth of different people to interact with gpt models. This interface limits the true capabilities of gpt to be more accessible to the general population. I think once we can assess the best use cases for large language models the general population would have an array of specifically train models to help with their needs.,Male,18-21,CS & Math,Student
A good amount,From a friend,To obtain significant help with a project,To obtain significant help with a project,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat,Somewhat,Not at all,0,I have not used ChatGPT,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat likely,Somewhat likely,,Male,26-29,,
A great deal,From the news,To get started with a project,Curiosity,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Very much so,Somewhat,A good amount,6 to 10,Curiosity,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat likely,Neither likely nor unlikely,,Female,18-21,CS & Math,Student
